X,NULL,NULL1,Y
1   , , 0      , 144    
2   , , 1      , 0      
3   , , 0      , 144    
4   , , 2      , 0      
5   , , 0      , 144    
6   , , 3      , 0      
7   , , 0      , 144    
8   , , 4      , 0      
9   , , 0      , 144    
10  , , 5      , 0      
11  , , 0      , 147    
12  , , 6      , 0      
13  , , 0      , 147    
14  , , 7      , 0      
15  , , 0      , 144    
16  , , 8      , 0      
17  , , 0      , 144    
18  , , 9      , 0      
19  , , 0      , 147    
20  , , 10     , 0      
21  , , 0      , 144    
22  , , 11     , 0      
23  , , 0      , 141    
24  , , 12     , 0      
25  , , 0      , 144    
26  , , 13     , 0      
27  , , 0      , 136    
28  , , 14     , 0      
29  , , 0      , 127    
30  , , 15     , 0      
31  , , 0      , 141    
32  , , 16     , 0      
33  , , 0      , 138    
34  , , 17     , 0      
35  , , 0      , 147    
36  , , 18     , 0      
37  , , 0      , 136    
38  , , 19     , 0      
39  , , 0      , 147    
40  , , 20     , 0      
41  , , 0      , 147    
42  , , 21     , 0      
43  , , 0      , 144    
44  , , 22     , 0      
45  , , 0      , 147    
46  , , 23     , 0      
47  , , 0      , 150    
48  , , 24     , 0      
49  , , 0      , 147    
50  , , 25     , 0      
51  , , 0      , 147    
52  , , 26     , 0      
53  , , 0      , 147    
54  , , 27     , 0      
55  , , 0      , 144    
56  , , 28     , 0      
57  , , 0      , 141    
58  , , 29     , 0      
59  , , 0      , 138    
60  , , 30     , 0      
61  , , 0      , 99     
62  , , 31     , 0      
63  , , 0      , 19     
64  , , 32     , 0      
65  , , 0      , 11     
66  , , 33     , 0      
67  , , 0      , 11     
68  , , 34     , 0      
69  , , 0      , 11     
70  , , 35     , 0      
71  , , 0      , 34     
72  , , 36     , 0      
73  , , 0      , 76     
74  , , 37     , 0      
75  , , 0      , 107    
76  , , 38     , 0      
77  , , 0      , 96     
78  , , 39     , 0      
79  , , 0      , 85     
80  , , 40     , 0      
81  , , 0      , 53     
82  , , 41     , 0      
83  , , 0      , 5      
84  , , 42     , 0      
85  , , 0      , 39     
86  , , 43     , 0      
87  , , 0      , 31     
88  , , 44     , 0      
89  , , 0      , 19     
90  , , 45     , 0      
91  , , 0      , 8      
92  , , 46     , 0      
93  , , 0      , 11     
94  , , 47     , 0      
95  , , 0      , 2      
96  , , 48     , 0      
97  , , 0      , 0      
98  , , 49     , 0      
99  , , 0      , 0      
100 , , 50     , 0      
101 , , 0      , 5      
102 , , 51     , 0      
103 , , 0      , 19     
104 , , 52     , 0      
105 , , 0      , 22     
106 , , 53     , 0      
107 , , 0      , 19     
108 , , 54     , 0      
109 , , 0      , 31     
110 , , 55     , 0      
111 , , 0      , 42     
112 , , 56     , 0      
113 , , 0      , 85     
114 , , 57     , 0      
115 , , 0      , 133    
116 , , 58     , 0      
117 , , 0      , 119    
118 , , 59     , 0      
119 , , 0      , 87     
120 , , 60     , 0      
121 , , 0      , 82     
122 , , 61     , 0      
123 , , 0      , 110    
124 , , 62     , 0      
125 , , 0      , 116    
126 , , 63     , 0      
127 , , 0      , 113    
128 , , 64     , 0      
129 , , 0      , 79     
130 , , 65     , 0      
131 , , 0      , 96     
132 , , 66     , 0      
133 , , 0      , 82     
134 , , 67     , 0      
135 , , 0      , 68     
136 , , 68     , 0      
137 , , 0      , 70     
138 , , 69     , 0      
139 , , 0      , 62     
140 , , 70     , 0      
141 , , 0      , 65     
142 , , 71     , 0      
143 , , 0      , 48     
144 , , 72     , 0      
145 , , 0      , 45     
146 , , 73     , 0      
147 , , 0      , 45     
148 , , 74     , 0      
149 , , 0      , 39     
150 , , 75     , 0      
151 , , 0      , 36     
152 , , 76     , 0      
153 , , 0      , 31     
154 , , 77     , 0      
155 , , 0      , 25     
156 , , 78     , 0      
157 , , 0      , 22     
158 , , 79     , 0      
159 , , 0      , 22     
160 , , 80     , 0      
161 , , 0      , 17     
162 , , 81     , 0      
163 , , 0      , 14     
164 , , 82     , 0      
165 , , 0      , 14     
166 , , 83     , 0      
167 , , 0      , 14     
168 , , 84     , 0      
169 , , 0      , 14     
170 , , 85     , 0      
171 , , 0      , 14     
172 , , 86     , 0      
173 , , 0      , 14     
174 , , 87     , 0      
175 , , 0      , 14     
176 , , 88     , 0      
177 , , 0      , 17     
178 , , 89     , 0      
179 , , 0      , 14     
180 , , 90     , 0      
181 , , 0      , 14     
182 , , 91     , 0      
183 , , 0      , 14     
184 , , 92     , 0      
185 , , 0      , 14     
186 , , 93     , 0      
187 , , 0      , 11     
188 , , 94     , 0      
189 , , 0      , 11     
190 , , 95     , 0      
191 , , 0      , 14     
192 , , 96     , 0      
193 , , 0      , 14     
194 , , 97     , 0      
195 , , 0      , 14     
196 , , 98     , 0      
197 , , 0      , 14     
198 , , 99     , 0      
199 , , 0      , 14     
200 , , 100    , 0      
201 , , 0      , 11     
202 , , 101    , 0      
203 , , 0      , 14     
204 , , 102    , 0      
205 , , 0      , 11     
206 , , 103    , 0      
207 , , 0      , 14     
208 , , 104    , 0      
209 , , 0      , 14     
210 , , 105    , 0      
211 , , 0      , 11     
212 , , 106    , 0      
213 , , 0      , 14     
214 , , 107    , 0      
215 , , 0      , 14     
216 , , 108    , 0      
217 , , 0      , 14     
218 , , 109    , 0      
219 , , 0      , 11     
220 , , 110    , 0      
221 , , 0      , 14     
222 , , 111    , 0      
223 , , 0      , 8      
224 , , 112    , 0      
225 , , 0      , 11     
226 , , 113    , 0      
227 , , 0      , 14     
228 , , 114    , 0      
229 , , 0      , 22     
230 , , 115    , 0      
231 , , 0      , 19     
232 , , 116    , 0      
233 , , 0      , 19     
234 , , 117    , 0      
235 , , 0      , 22     
236 , , 118    , 0      
237 , , 0      , 22     
238 , , 119    , 0      
239 , , 0      , 25     
240 , , 120    , 0      
241 , , 0      , 22     
242 , , 121    , 0      
243 , , 0      , 22     
244 , , 122    , 0      
245 , , 0      , 25     
246 , , 123    , 0      
247 , , 0      , 19     
248 , , 124    , 0      
249 , , 0      , 28     
250 , , 125    , 0      
251 , , 0      , 65     
252 , , 126    , 0      
253 , , 0      , 39     
254 , , 127    , 0      
255 , , 0      , 31     
256 , , 128    , 0      
257 , , 0      , 36     
258 , , 129    , 0      
259 , , 0      , 39     
260 , , 130    , 0      
261 , , 0      , 45     
262 , , 131    , 0      
263 , , 0      , 45     
264 , , 132    , 0      
265 , , 0      , 48     
266 , , 133    , 0      
267 , , 0      , 62     
268 , , 134    , 0      
269 , , 0      , 59     
270 , , 135    , 0      
271 , , 0      , 62     
272 , , 136    , 0      
273 , , 0      , 65     
274 , , 137    , 0      
275 , , 0      , 73     
276 , , 138    , 0      
277 , , 0      , 70     
278 , , 139    , 0      
279 , , 0      , 65     
280 , , 140    , 0      
281 , , 0      , 85     
282 , , 141    , 0      
283 , , 0      , 70     
284 , , 142    , 0      
285 , , 0      , 73     
286 , , 143    , 0      
287 , , 0      , 73     
288 , , 144    , 0      
289 , , 0      , 87     
290 , , 145    , 0      
291 , , 0      , 76     
292 , , 146    , 0      
293 , , 0      , 79     
294 , , 147    , 0      
295 , , 0      , 96     
296 , , 148    , 0      
297 , , 0      , 85     
298 , , 149    , 0      
299 , , 0      , 73     
300 , , 150    , 0      
301 , , 0      , 85     
302 , , 151    , 0      
303 , , 0      , 96     
304 , , 152    , 0      
305 , , 0      , 85     
306 , , 153    , 0      
307 , , 0      , 93     
308 , , 154    , 0      
309 , , 0      , 107    
310 , , 155    , 0      
311 , , 0      , 90     
312 , , 156    , 0      
313 , , 0      , 90     
314 , , 157    , 0      
315 , , 0      , 113    
316 , , 158    , 0      
317 , , 0      , 119    
318 , , 159    , 0      
319 , , 0      , 104    
320 , , 160    , 0      
321 , , 0      , 102    
322 , , 161    , 0      
323 , , 0      , 121    
324 , , 162    , 0      
325 , , 0      , 113    
326 , , 163    , 0      
327 , , 0      , 96     
328 , , 164    , 0      
329 , , 0      , 113    
330 , , 165    , 0      
331 , , 0      , 113    
332 , , 166    , 0      
333 , , 0      , 107    
334 , , 167    , 0      
335 , , 0      , 116    
336 , , 168    , 0      
337 , , 0      , 124    
338 , , 169    , 0      
339 , , 0      , 113    
340 , , 170    , 0      
341 , , 0      , 102    
342 , , 171    , 0      
343 , , 0      , 104    
344 , , 172    , 0      
345 , , 0      , 87     
346 , , 173    , 0      
347 , , 0      , 76     
348 , , 174    , 0      
349 , , 0      , 82     
350 , , 175    , 0      
351 , , 0      , 82     
352 , , 176    , 0      
353 , , 0      , 65     
354 , , 177    , 0      
355 , , 0      , 62     
356 , , 178    , 0      
357 , , 0      , 68     
358 , , 179    , 0      
359 , , 0      , 68     
360 , , 180    , 0      
361 , , 0      , 59     
362 , , 181    , 0      
363 , , 0      , 53     
364 , , 182    , 0      
365 , , 0      , 59     
366 , , 183    , 0      
367 , , 0      , 59     
368 , , 184    , 0      
369 , , 0      , 56     
370 , , 185    , 0      
371 , , 0      , 65     
372 , , 186    , 0      
373 , , 0      , 68     
374 , , 187    , 0      
375 , , 0      , 76     
376 , , 188    , 0      
377 , , 0      , 104    
378 , , 189    , 0      
379 , , 0      , 90     
380 , , 190    , 0      
381 , , 0      , 79     
382 , , 191    , 0      
383 , , 0      , 82     
384 , , 192    , 0      
385 , , 0      , 82     
386 , , 193    , 0      
387 , , 0      , 73     
388 , , 194    , 0      
389 , , 0      , 62     
390 , , 195    , 0      
391 , , 0      , 65     
392 , , 196    , 0      
393 , , 0      , 76     
394 , , 197    , 0      
395 , , 0      , 70     
396 , , 198    , 0      
397 , , 0      , 70     
398 , , 199    , 0      
399 , , 0      , 79     
400 , , 200    , 0      
401 , , 0      , 87     
402 , , 201    , 0      
403 , , 0      , 96     
404 , , 202    , 0      
405 , , 0      , 107    
406 , , 203    , 0      
407 , , 0      , 124    
408 , , 204    , 0      
409 , , 0      , 127    
410 , , 205    , 0      
411 , , 0      , 130    
412 , , 206    , 0      
413 , , 0      , 138    
414 , , 207    , 0      
415 , , 0      , 138    
416 , , 208    , 0      
417 , , 0      , 136    
418 , , 209    , 0      
419 , , 0      , 144    
420 , , 210    , 0      
421 , , 0      , 141    
422 , , 211    , 0      
423 , , 0      , 130    
424 , , 212    , 0      
425 , , 0      , 138    
426 , , 213    , 0      
427 , , 0      , 144    
428 , , 214    , 0      
429 , , 0      , 138    
430 , , 215    , 0      
431 , , 0      , 127    
432 , , 216    , 0      
433 , , 0      , 133    
434 , , 217    , 0      
435 , , 0      , 121    
436 , , 218    , 0      
437 , , 0      , 107    
438 , , 219    , 0      
439 , , 0      , 110    
440 , , 220    , 0      
441 , , 0      , 107    
442 , , 221    , 0      
443 , , 0      , 99     
444 , , 222    , 0      
445 , , 0      , 90     
446 , , 223    , 0      
447 , , 0      , 96     
448 , , 224    , 0      
449 , , 0      , 102    
450 , , 225    , 0      
451 , , 0      , 96     
452 , , 226    , 0      
453 , , 0      , 102    
454 , , 227    , 0      
455 , , 0      , 124    
456 , , 228    , 0      
457 , , 0      , 116    
458 , , 229    , 0      
459 , , 0      , 22     
460 , , 230    , 0      
461 , , 0      , 2      
462 , , 231    , 0      
463 , , 0      , 65     
464 , , 232    , 0      
465 , , 0      , 110    
466 , , 233    , 0      
467 , , 0      , 124    
468 , , 234    , 0      
469 , , 0      , 116    
470 , , 235    , 0      
471 , , 0      , 107    
472 , , 236    , 0      
473 , , 0      , 107    
474 , , 237    , 0      
475 , , 0      , 99     
476 , , 238    , 0      
477 , , 0      , 90     
478 , , 239    , 0      
479 , , 0      , 82     
480 , , 240    , 0      
481 , , 0      , 87     
482 , , 241    , 0      
483 , , 0      , 82     
484 , , 242    , 0      
485 , , 0      , 73     
486 , , 243    , 0      
487 , , 0      , 70     
488 , , 244    , 0      
489 , , 0      , 68     
490 , , 245    , 0      
491 , , 0      , 65     
492 , , 246    , 0      
493 , , 0      , 56     
494 , , 247    , 0      
495 , , 0      , 56     
496 , , 248    , 0      
497 , , 0      , 53     
498 , , 249    , 0      
499 , , 0      , 51     
500 , , 250    , 0      
501 , , 0      , 53     
502 , , 251    , 0      
503 , , 0      , 62     
504 , , 252    , 0      
505 , , 0      , 73     
506 , , 253    , 0      
507 , , 0      , 87     
508 , , 254    , 0      
509 , , 0      , 93     
510 , , 255    , 0      
511 , , 0      , 87     
512 , , 256    , 0      
513 , , 0      , 96     
514 , , 257    , 0      
515 , , 0      , 102    
516 , , 258    , 0      
517 , , 0      , 116    
518 , , 259    , 0      
519 , , 0      , 124    
520 , , 260    , 0      
521 , , 0      , 110    
522 , , 261    , 0      
523 , , 0      , 107    
524 , , 262    , 0      
525 , , 0      , 104    
526 , , 263    , 0      
527 , , 0      , 110    
528 , , 264    , 0      
529 , , 0      , 110    
530 , , 265    , 0      
531 , , 0      , 102    
532 , , 266    , 0      
533 , , 0      , 93     
534 , , 267    , 0      
535 , , 0      , 99     
536 , , 268    , 0      
537 , , 0      , 99     
538 , , 269    , 0      
539 , , 0      , 93     
540 , , 270    , 0      
541 , , 0      , 93     
542 , , 271    , 0      
543 , , 0      , 96     
544 , , 272    , 0      
545 , , 0      , 99     
546 , , 273    , 0      
547 , , 0      , 104    
548 , , 274    , 0      
549 , , 0      , 116    
550 , , 275    , 0      
551 , , 0      , 110    
552 , , 276    , 0      
553 , , 0      , 102    
554 , , 277    , 0      
555 , , 0      , 107    
556 , , 278    , 0      
557 , , 0      , 119    
558 , , 279    , 0      
559 , , 0      , 119    
560 , , 280    , 0      
561 , , 0      , 119    
562 , , 281    , 0      
563 , , 0      , 121    
564 , , 282    , 0      
565 , , 0      , 124    
566 , , 283    , 0      
567 , , 0      , 121    
568 , , 284    , 0      
569 , , 0      , 119    
570 , , 285    , 0      
571 , , 0      , 127    
572 , , 286    , 0      
573 , , 0      , 119    
574 , , 287    , 0      
575 , , 0      , 113    
576 , , 288    , 0      
577 , , 0      , 121    
578 , , 289    , 0      
579 , , 0      , 130    
580 , , 290    , 0      
581 , , 0      , 124    
582 , , 291    , 0      
583 , , 0      , 119    
584 , , 292    , 0      
585 , , 0      , 121    
586 , , 293    , 0      
587 , , 0      , 116    
588 , , 294    , 0      
589 , , 0      , 119    
590 , , 295    , 0      
591 , , 0      , 130    
592 , , 296    , 0      
593 , , 0      , 116    
594 , , 297    , 0      
595 , , 0      , 104    
596 , , 298    , 0      
597 , , 0      , 119    
598 , , 299    , 0      
599 , , 0      , 127    
600 , , 300    , 0      
601 , , 0      , 113    
602 , , 301    , 0      
603 , , 0      , 124    
604 , , 302    , 0      
605 , , 0      , 119    
606 , , 303    , 0      
607 , , 0      , 110    
608 , , 304    , 0      
609 , , 0      , 113    
610 , , 305    , 0      
611 , , 0      , 136    
612 , , 306    , 0      
613 , , 0      , 124    
614 , , 307    , 0      
615 , , 0      , 116    
616 , , 308    , 0      
617 , , 0      , 133    
618 , , 309    , 0      
619 , , 0      , 133    
620 , , 310    , 0      
621 , , 0      , 121    
622 , , 311    , 0      
623 , , 0      , 124    
624 , , 312    , 0      
625 , , 0      , 138    
626 , , 313    , 0      
627 , , 0      , 138    
628 , , 314    , 0      
629 , , 0      , 130    
630 , , 315    , 0      
631 , , 0      , 141    
632 , , 316    , 0      
633 , , 0      , 136    
634 , , 317    , 0      
635 , , 0      , 127    
636 , , 318    , 0      
637 , , 0      , 133    
638 , , 319    , 0      
639 , , 0      , 138    
640 , , 320    , 0      
641 , , 0      , 124    
642 , , 321    , 0      
643 , , 0      , 127    
644 , , 322    , 0      
645 , , 0      , 141    
646 , , 323    , 0      
647 , , 0      , 130    
648 , , 324    , 0      
649 , , 0      , 121    
650 , , 325    , 0      
651 , , 0      , 127    
652 , , 326    , 0      
653 , , 0      , 136    
654 , , 327    , 0      
655 , , 0      , 121    
656 , , 328    , 0      
657 , , 0      , 121    
658 , , 329    , 0      
659 , , 0      , 136    
660 , , 330    , 0      
661 , , 0      , 133    
662 , , 331    , 0      
663 , , 0      , 119    
664 , , 332    , 0      
665 , , 0      , 141    
666 , , 333    , 0      
667 , , 0      , 144    
668 , , 334    , 0      
669 , , 0      , 130    
670 , , 335    , 0      
671 , , 0      , 138    
672 , , 336    , 0      
673 , , 0      , 147    
674 , , 337    , 0      
675 , , 0      , 130    
676 , , 338    , 0      
677 , , 0      , 133    
678 , , 339    , 0      
679 , , 0      , 147    
680 , , 340    , 0      
681 , , 0      , 127    
682 , , 341    , 0      
683 , , 0      , 119    
684 , , 342    , 0      
685 , , 0      , 133    
686 , , 343    , 0      
687 , , 0      , 133    
688 , , 344    , 0      
689 , , 0      , 119    
690 , , 345    , 0      
691 , , 0      , 113    
692 , , 346    , 0      
693 , , 0      , 121    
694 , , 347    , 0      
695 , , 0      , 99     
696 , , 348    , 0      
697 , , 0      , 93     
698 , , 349    , 0      
699 , , 0      , 102    
700 , , 350    , 0      
701 , , 0      , 90     
702 , , 351    , 0      
703 , , 0      , 79     
704 , , 352    , 0      
705 , , 0      , 70     
706 , , 353    , 0      
707 , , 0      , 93     
708 , , 354    , 0      
709 , , 0      , 93     
710 , , 355    , 0      
711 , , 0      , 65     
712 , , 356    , 0      
713 , , 0      , 65     
714 , , 357    , 0      
715 , , 0      , 73     
716 , , 358    , 0      
717 , , 0      , 73     
718 , , 359    , 0      
719 , , 0      , 65     
720 , , 360    , 0      
721 , , 0      , 68     
722 , , 361    , 0      
723 , , 0      , 68     
724 , , 362    , 0      
725 , , 0      , 62     
726 , , 363    , 0      
727 , , 0      , 68     
728 , , 364    , 0      
729 , , 0      , 73     
730 , , 365    , 0      
731 , , 0      , 76     
732 , , 366    , 0      
733 , , 0      , 87     
734 , , 367    , 0      
735 , , 0      , 87     
736 , , 368    , 0      
737 , , 0      , 85     
738 , , 369    , 0      
739 , , 0      , 87     
740 , , 370    , 0      
741 , , 0      , 85     
742 , , 371    , 0      
743 , , 0      , 85     
744 , , 372    , 0      
745 , , 0      , 82     
746 , , 373    , 0      
747 , , 0      , 96     
748 , , 374    , 0      
749 , , 0      , 96     
750 , , 375    , 0      
751 , , 0      , 93     
752 , , 376    , 0      
753 , , 0      , 93     
754 , , 377    , 0      
755 , , 0      , 90     
756 , , 378    , 0      
757 , , 0      , 79     
758 , , 379    , 0      
759 , , 0      , 73     
760 , , 380    , 0      
761 , , 0      , 68     
762 , , 381    , 0      
763 , , 0      , 73     
764 , , 382    , 0      
765 , , 0      , 76     
766 , , 383    , 0      
767 , , 0      , 79     
768 , , 384    , 0      
769 , , 0      , 90     
770 , , 385    , 0      
771 , , 0      , 99     
772 , , 386    , 0      
773 , , 0      , 102    
774 , , 387    , 0      
775 , , 0      , 107    
776 , , 388    , 0      
777 , , 0      , 113    
778 , , 389    , 0      
779 , , 0      , 104    
780 , , 390    , 0      
781 , , 0      , 107    
782 , , 391    , 0      
783 , , 0      , 116    
784 , , 392    , 0      
785 , , 0      , 121    
786 , , 393    , 0      
787 , , 0      , 119    
788 , , 394    , 0      
789 , , 0      , 124    
790 , , 395    , 0      
791 , , 0      , 119    
792 , , 396    , 0      
793 , , 0      , 113    
794 , , 397    , 0      
795 , , 0      , 110    
796 , , 398    , 0      
797 , , 0      , 124    
798 , , 399    , 0      
799 , , 0      , 121    
800 , , 400    , 0      
801 , , 0      , 116    
802 , , 401    , 0      
803 , , 0      , 116    
804 , , 402    , 0      
805 , , 0      , 121    
806 , , 403    , 0      
807 , , 0      , 119    
808 , , 404    , 0      
809 , , 0      , 116    
810 , , 405    , 0      
811 , , 0      , 127    
812 , , 406    , 0      
813 , , 0      , 110    
814 , , 407    , 0      
815 , , 0      , 104    
816 , , 408    , 0      
817 , , 0      , 119    
818 , , 409    , 0      
819 , , 0      , 124    
820 , , 410    , 0      
821 , , 0      , 119    
822 , , 411    , 0      
823 , , 0      , 121    
824 , , 412    , 0      
825 , , 0      , 127    
826 , , 413    , 0      
827 , , 0      , 113    
828 , , 414    , 0      
829 , , 0      , 116    
830 , , 415    , 0      
831 , , 0      , 138    
832 , , 416    , 0      
833 , , 0      , 136    
834 , , 417    , 0      
835 , , 0      , 121    
836 , , 418    , 0      
837 , , 0      , 127    
838 , , 419    , 0      
839 , , 0      , 141    
840 , , 420    , 0      
841 , , 0      , 130    
842 , , 421    , 0      
843 , , 0      , 127    
844 , , 422    , 0      
845 , , 0      , 144    
846 , , 423    , 0      
847 , , 0      , 147    
848 , , 424    , 0      
849 , , 0      , 141    
850 , , 425    , 0      
851 , , 0      , 147    
852 , , 426    , 0      
853 , , 0      , 144    
854 , , 427    , 0      
855 , , 0      , 133    
856 , , 428    , 0      
857 , , 0      , 138    
858 , , 429    , 0      
859 , , 0      , 150    
860 , , 430    , 0      
861 , , 0      , 133    
862 , , 431    , 0      
863 , , 0      , 133    
864 , , 432    , 0      
865 , , 0      , 150    
866 , , 433    , 0      
867 , , 0      , 141    
868 , , 434    , 0      
869 , , 0      , 127    
870 , , 435    , 0      
871 , , 0      , 136    
872 , , 436    , 0      
873 , , 0      , 144    
874 , , 437    , 0      
875 , , 0      , 124    
876 , , 438    , 0      
877 , , 0      , 127    
878 , , 439    , 0      
879 , , 0      , 144    
880 , , 440    , 0      
881 , , 0      , 136    
882 , , 441    , 0      
883 , , 0      , 130    
884 , , 442    , 0      
885 , , 0      , 150    
886 , , 443    , 0      
887 , , 0      , 147    
888 , , 444    , 0      
889 , , 0      , 133    
890 , , 445    , 0      
891 , , 0      , 144    
892 , , 446    , 0      
893 , , 0      , 150    
894 , , 447    , 0      
895 , , 0      , 133    
896 , , 448    , 0      
897 , , 0      , 136    
898 , , 449    , 0      
899 , , 0      , 147    
900 , , 450    , 0      
901 , , 0      , 130    
902 , , 451    , 0      
903 , , 0      , 119    
904 , , 452    , 0      
905 , , 0      , 130    
906 , , 453    , 0      
907 , , 0      , 136    
